output,nstep_coarse,aexp,z,time
435,20446,0.49297763928048,1.0284895709662183,5.849499930942939
436,20454,0.493203063370583,1.0275624266522851,5.853160270559625
437,20486,0.494121213457643,1.023794916640878,5.86798117226119
438,20495,0.494382858758995,1.0227238511266559,5.872199506780124
439,20518,0.495041810825496,1.0200313955956006,5.882997768472186
440,20547,0.495881606255529,1.0166103912406412,5.896708182933542
441,20550,0.495966673249095,1.0162645071471537,5.898094534815287
442,20582,0.496890647031764,1.0125152404731708,5.913152699428772
443,20614,0.497822525656357,1.0087479944414812,5.9282608912672305
444,20634,0.498373289712389,1.0065280797393847,5.937172876261693
445,20647,0.498742925310071,1.0050409725176452,5.943153998057681
446,20679,0.499664104474678,1.00134448531449,5.958210190822882
447,20683,0.499765198653605,1.000939646646175,5.959863939490477
448,20711,0.500581128431441,0.9976781848198635,5.973211323061596
449,20732,0.50119409024627,0.9952350186504262,5.983210535624316
450,20742,0.501482151530766,0.9940889161209754,5.987889115390415
451,20774,0.502429181841032,0.990330251789393,6.003270414738742
452,20783,0.502695008146007,0.98927776046177,6.007587862582967
453,20805,0.503324773471333,0.9867887549090713,6.017763635339863
454,20832,0.504070556343722,0.9838492596225108,6.029972352496929
455,20839,0.504258614384182,0.9831094035373784,6.0330605847459156
456,20871,0.505169311594741,0.9795343403643333,6.047971843808419
457,20889,0.505703445680688,0.9774435166325155,6.056680343250653
458,20903,0.506097099454631,0.9759054163274155,6.063098457654919
459,20934,0.506996852602665,0.9723988321949268,6.077736472642427
460,20940,0.507169780879732,0.9717263088218886,6.080535638236961
461,20966,0.507933068047209,0.9687633330205954,6.092890859801602
462,20989,0.508602621128304,0.9661715422967361,6.10388656791579
463,20998,0.508846422913059,0.9652294974880051,6.107884741819173
464,21032,0.509771998745595,0.9616612965418221,6.12303472992118
465,21044,0.510124624262281,0.9603052909789533,6.128806566430388
466,21063,0.510673406735269,0.9581986976627432,6.137781992112881
467,21093,0.511504337321147,0.9550176353092232,6.151284784532581
468,21097,0.511607459432316,0.9546235723568388,6.152960539986364
469,21130,0.512531499986184,0.9510995910045654,6.167976388479976
470,21145,0.512952536903851,0.9494981076337716,6.174824449057265
471,21162,0.513442969339532,0.9476359785125721,6.182884352478436
472,21193,0.514358950835001,0.9441675864230963,6.197937847826479
473,21198,0.514502310205158,0.9436258694373005,6.200293855696072
474,21225,0.515284175795194,0.9406767119459578,6.213053353185489
475,21256,0.516208546899312,0.937201555469505,6.228134850890268
476,21276,0.516812883653888,0.9349362827992203,6.23795746568277
477,21286,0.517104188006146,0.9338462599883539,6.242675780862404
478,21317,0.518020127785402,0.9304269204270492,6.2576490717374185
479,21327,0.518321580512065,0.9293041956927026,6.262623728436732
480,21348,0.518932588705444,0.927032569865484,6.272651689835314
481,21379,0.519877544926957,0.9235298961421776,6.2881324337296025
482,21381,0.519939538753099,0.9233005483640762,6.289148047494204
483,21410,0.520786364546585,0.9201731613511719,6.302981899074836
